seat_name,division,district,party,candidate,votes
Nilphamari 3,Rangpur,Nilphamari,Bangladesh Jamaat-e-Islami (Jamaat),Obaidullah Salafi,108560.0
Nilphamari 4,Rangpur,Nilphamari,Bangladesh Jamaat-e-Islami (Jamaat),Abdul Muntakim,124865.0
Nilphamari 4,Rangpur,Nilphamari,Independent Candidate (Independent),Jobaidur Rahman (Hira),-
Nilphamari 4,Rangpur,Nilphamari,Bangladesh Nationalist Party (BNP),Md. Abdul Gafur Sarker,81526.0
Nilphamari 4,Rangpur,Nilphamari,Socialist Party of Bangladesh (Marxist) (SPB-M),Md. Maidul Islam,-
Nilphamari 4,Rangpur,Nilphamari,Independent Candidate (Independent),Md. Riyad Arfan Sarkar,-
Nilphamari 4,Rangpur,Nilphamari,Islami Andolan Bangladesh (IAB),Md. Shahidul Islam,-
Nilphamari 4,Rangpur,Nilphamari,Jatiya Party (JaPa),Md. Siddiqul Alam,-
Nilphamari 4,Rangpur,Nilphamari,Bangladesh Jatiya Party (BJP),Mirza Md. Shawkat Akhbar Rawshan,-
Nilphamari 4,Rangpur,Nilphamari,Independent Candidate (Independent),S. M. Mamunur Rashid,-
Noakhali 1,Chattogram,Noakhali,Bangladesh Nationalist Party (BNP),A. M. Mahbub Uddin,126833.0
Noakhali 1,Chattogram,Noakhali,Bangladesh Congress,Md. Mominul Islam,-
Noakhali 1,Chattogram,Noakhali,Insaniyat Biplob Bangladesh (IBB),Md. Moshiur Rahman,-
Noakhali 1,Chattogram,Noakhali,Jatiya Party (JaPa),Md. Nurul Amin,-
Noakhali 1,Chattogram,Noakhali,Bangladesh Jamaat-e-Islami (Jamaat),Md. Saif Ullah,98036.0
Noakhali 1,Chattogram,Noakhali,Jatiya Samajtantrik Dal-JASAD,Rehana Begum,-
Noakhali 1,Chattogram,Noakhali,Islami Andolan Bangladesh (IAB),Zahirul Islam,-
Noakhali 2,Chattogram,Noakhali,Independent Candidate (Independent),Kazi Mohammad Mofizur Rahman,-
Noakhali 2,Chattogram,Noakhali,Islami Andolan Bangladesh (IAB),Khalilur Rahman,-
Noakhali 2,Chattogram,Noakhali,Jatiya Party (JaPa),Md. Shahadat Hossain,-
Noakhali 2,Chattogram,Noakhali,National Citizen Party (NCP),Sultan Muhammad Zakaria Majumder,67054.0
Noakhali 2,Chattogram,Noakhali,Bangladesh Nationalist Party (BNP),Zainul Abdin Farooq,83982.0
Noakhali 3,Chattogram,Noakhali,Bangladesh Nationalist Party (BNP),Md. Barkat Ullah Bulu,141031.0
Noakhali 3,Chattogram,Noakhali,Bangladesh Jamaat-e-Islami (Jamaat),Md. Borhan Uddin,123941.0
Noakhali 3,Chattogram,Noakhali,Independent Candidate (Independent),Md. Rajib Uddaula Chowdhury,-
Noakhali 3,Chattogram,Noakhali,Jatiya Samajtantrik Dal-JASAD,Md. Siraj Mia,-
Noakhali 3,Chattogram,Noakhali,Islami Andolan Bangladesh (IAB),Mohammad Nur Uddin,-
Noakhali 3,Chattogram,Noakhali,Khelafat Majlis,Morshed Alam,-
Noakhali 3,Chattogram,Noakhali,Independent Candidate (Independent),Sharif Ahmed,-
Noakhali 4,Chattogram,Noakhali,Gono Odhikar Parishad (GOP),Abduz Zaher,-
Noakhali 4,Chattogram,Noakhali,Socialist Party of Bangladesh (Marxist) (SPB-M),Bitul Chandra Talukder,-
Noakhali 4,Chattogram,Noakhali,Islami Andolan Bangladesh (IAB),Md. Firoz Alam Masud,-
Noakhali 4,Chattogram,Noakhali,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ishaq Khandaker,148989.0
Noakhali 4,Chattogram,Noakhali,Bangladesh Nationalist Party (BNP),Md. Shahjahan,219182.0
Noakhali 4,Chattogram,Noakhali,Jatiya Party (JaPa),Md. Shariful Islam,-
Noakhali 4,Chattogram,Noakhali,Insaniyat Biplob Bangladesh (IBB),Muhammad Yunus Nabi,-
Noakhali 5,Chattogram,Noakhali,Islami Andolan Bangladesh (IAB),Abu Nasser,-
Noakhali 5,Chattogram,Noakhali,Jatiya Party (JaPa),Khwaja Tanvir Ahmed,-
Noakhali 5,Chattogram,Noakhali,Jatiya Samajtantrik Dal-JASAD,Md. Kamal Uddin Patwari,-
Noakhali 5,Chattogram,Noakhali,Janotar Dol,Md. Shawkat Hossain,-
Noakhali 5,Chattogram,Noakhali,Bangladesh Republican Party (BRP),Mohammad Anisul Haque,-
Noakhali 5,Chattogram,Noakhali,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Belayet Hossain,120453.0
Noakhali 5,Chattogram,Noakhali,Bangladesh Nationalist Party (BNP),Mohammad Fakhrul Islam,147808.0
Noakhali 5,Chattogram,Noakhali,Islamic Front Bangladesh (IFB),Mohammad Shamsuddoha,-
Noakhali 5,Chattogram,Noakhali,Socialist Party of Bangladesh (Marxist) (SPB-M),Moon Tahar Begum,-
Noakhali 5,Chattogram,Noakhali,Independent Candidate (Independent),Muhammad Yunus,-
Noakhali 5,Chattogram,Noakhali,Independent Candidate (Independent),Omar Ali,-
Noakhali 5,Chattogram,Noakhali,Insaniyat Biplob Bangladesh (IBB),Touhidul Islam,-
Noakhali 6,Chattogram,Noakhali,Jatiya Party (JaPa),A. T. M. Nabi Ullah,-
Noakhali 6,Chattogram,Noakhali,National Citizen Party (NCP),Abdul Hannan Masood,91899.0
Noakhali 6,Chattogram,Noakhali,Bangladesh Supreme Party (BSP),Amirul Islam Mohammad Abdul Malek,-
Noakhali 6,Chattogram,Noakhali,Bangladesh Nationalist Party (BNP),Md. Mahbuber Rahman,64021.0
Noakhali 6,Chattogram,Noakhali,Jatiya Samajtantrik Dal-JASAD,Mohammad Abdul Motaleb,-
Noakhali 6,Chattogram,Noakhali,Bangladesh Liberal Democratic Party (LDP),Mohammad Abul Hossain,-
Noakhali 6,Chattogram,Noakhali,Gono Odhikar Parishad (GOP),Mohammad Azhar Uddin,-
Noakhali 6,Chattogram,Noakhali,Independent Candidate (Independent),Mohammad Fazlul Azim,-
Noakhali 6,Chattogram,Noakhali,Islami Andolan Bangladesh (IAB),Mohammad Nurul Islam Sharif,-
Noakhali 6,Chattogram,Noakhali,Independent Candidate (Independent),Tanbir Uddin Rajib,-
Pabna 1,Rajshahi,Pabna,Islami Andolan Bangladesh (IAB),Md. Abdul Ghani,-
Pabna 1,Rajshahi,Pabna,Bangladesh Nationalist Party (BNP),Md. Shamsur Rahman,104245.0
Pabna 1,Rajshahi,Pabna,Independent Candidate (Independent),Md. Tajul Islam,-
Pabna 1,Rajshahi,Pabna,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Nojibur Rahman,129974.0
Pabna 2,Rajshahi,Pabna,Bangladesh Nationalist Party (BNP),A. K. M. Selim Reza Habib,215406.0
Pabna 2,Rajshahi,Pabna,Islami Andolan Bangladesh (IAB),Md. Afzal Hossain Khan Qashemi,-
Pabna 2,Rajshahi,Pabna,Bangladesh Jamaat-e-Islami (Jamaat),Md. Hesab Uddin,77242.0
Pabna 2,Rajshahi,Pabna,Jatiya Party (JaPa),Md. Mehedi Hasan Rubel,-
Pabna 2,Rajshahi,Pabna,Gono Forum (GF),Md. Nasir Uddin,-
Pabna 3,Rajshahi,Pabna,Independent Candidate (Independent),K. M. Anwarul Islam,-
Pabna 3,Rajshahi,Pabna,Islami Andolan Bangladesh (IAB),Md. Abdul Khalek,-
Pabna 3,Rajshahi,Pabna,Bangladesh Nationalist Party (BNP),Md. Hasan Zafir Tuhin,144206.0
Pabna 3,Rajshahi,Pabna,Gono Odhikar Parishad (GOP),Md. Hasanul Islam,-
Pabna 3,Rajshahi,Pabna,Bangladesh Supreme Party (BSP),Md. Mahbubur Rahman Joy Chowdhury,-
Pabna 3,Rajshahi,Pabna,Jatiya Party (JaPa),Mir Nadir Mohammad Dablu,-
Pabna 3,Rajshahi,Pabna,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Ali Asghar,147465.0
Pabna 3,Rajshahi,Pabna,Gono Forum (GF),Sarkar Asha Parvez,-
Pabna 4,Rajshahi,Pabna,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abu Taleb Mandal,137675.0
Pabna 4,Rajshahi,Pabna,Islami Andolan Bangladesh (IAB),Md. Anwar Shah,-
Pabna 4,Rajshahi,Pabna,Bangladesh Nationalist Party (BNP),Md. Habibur Rahman (Habib),133874.0
Pabna 4,Rajshahi,Pabna,Jatiya Party (JaPa),Md. Saiful Azad Mallick,-
Pabna 4,Rajshahi,Pabna,Communist Party of Bangladesh (CPB),Md. Sohag Hossain,-
Pabna 4,Rajshahi,Pabna,Independent Candidate (Independent),Md. Zakaria Pintu,-
Pabna 4,Rajshahi,Pabna,Nagorik Oikya (NO),Shahnaz Haque,-
Pabna 5,Rajshahi,Pabna,Amar Bangladesh Party (AB),Md. Abdul Majid Mollah,-
Pabna 5,Rajshahi,Pabna,Bangladesh Jamaat-e-Islami (Jamaat),Md. Iqbal Hossain,164994.0
Pabna 5,Rajshahi,Pabna,Islami Andolan Bangladesh (IAB),Md. Nazmul Hossain,-
Pabna 5,Rajshahi,Pabna,Bangladesh Nationalist Party (BNP),Md. Shamsur Rahman Shimul Biswas,181925.0
Panchagarh 1,Rangpur,Panchagarh,Bangladesh Nationalist Party (BNP),Barrister Muhammad Nawshad Zamir,176169.0
Panchagarh 1,Rangpur,Panchagarh,Bangladesh Supreme Party (BSP),Md. Abdul Weadud,-
Panchagarh 1,Rangpur,Panchagarh,Bangladesh Labour Party,Md. Ferdaus Alam,-
Panchagarh 1,Rangpur,Panchagarh,Gono Odhikar Parishad (GOP),Md. Mahafuzar Rahaman,-
Panchagarh 1,Rangpur,Panchagarh,National Citizen Party (NCP),Md. Sarjis Alam,168049.0
Panchagarh 1,Rangpur,Panchagarh,Bangladesh Nationalist Front (BNF),Md. Shirajul Islam,-
Panchagarh 1,Rangpur,Panchagarh,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Nazmul Haque Prodhan,-
Panchagarh 2,Rangpur,Panchagarh,Bangladesh Nationalist Party (BNP),Farhad Hossain Azad,174650.0
Panchagarh 2,Rangpur,Panchagarh,Independent Candidate (Independent),Mahmud Hossan Sumon,-
Panchagarh 2,Rangpur,Panchagarh,Communist Party of Bangladesh (CPB),Md. Ashraful Alam,-
Panchagarh 2,Rangpur,Panchagarh,Bangladesh Supreme Party (BSP),Md. Delowar Hossan,-
Panchagarh 2,Rangpur,Panchagarh,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Md. Emran Al Amin,-
Panchagarh 2,Rangpur,Panchagarh,Islami Andolan Bangladesh (IAB),Md. Kamrul Hasan Prodhan,-
Panchagarh 2,Rangpur,Panchagarh,Jatiya Party (JaPa),Md. Lutfar Rahman Ripon,-
Panchagarh 2,Rangpur,Panchagarh,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shafiul Alam,128862.0
Patuakhali 1,Barisal,Patuakhali,Jatiya Party (JaPa),A. Mannan Howlader,1055.0
Patuakhali 1,Barisal,Patuakhali,Bangladesh Nationalist Party (BNP),Altaf Hossain Chowdhury,152087.0
Patuakhali 1,Barisal,Patuakhali,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Gautam Chandra Shil,1334.0
Patuakhali 1,Barisal,Patuakhali,Islami Andolan Bangladesh (IAB),Md. Firoz Alam,58161.0
Patuakhali 1,Barisal,Patuakhali,Gono Odhikar Parishad (GOP),Md. Shahidul Islam Fahim,347.0
Patuakhali 1,Barisal,Patuakhali,Amar Bangladesh Party (AB),Mohammad Abdul Wahab,46310.0
Patuakhali 2,Barisal,Patuakhali,Islami Andolan Bangladesh (IAB),Malek Hossain,14418.0
Patuakhali 2,Barisal,Patuakhali,Gono Odhikar Parishad (GOP),Md. Habibur Rahman,353.0
Patuakhali 2,Barisal,Patuakhali,Amar Bangladesh Party (AB),Md. Ruhul Amin,410.0
Patuakhali 2,Barisal,Patuakhali,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shafiqul Islam,100750.0
Patuakhali 2,Barisal,Patuakhali,Bangladesh Nationalist Party (BNP),Md. Shahidul Alam Talukder,72676.0
Patuakhali 3,Barisal,Patuakhali,Independent Candidate (Independent),Md. Hasan Mamun,81361.0
Patuakhali 3,Barisal,Patuakhali,Gono Odhikar Parishad (GOP),Md. Nurul Haque,97323.0
Patuakhali 3,Barisal,Patuakhali,Islami Andolan Bangladesh (IAB),Muhammad Abu Bakr Siddiqui,38188.0
Patuakhali 3,Barisal,Patuakhali,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Shah Alam,16255.0
Patuakhali 4,Barisal,Patuakhali,Bangladesh Nationalist Party (BNP),ABM Mosharraf Hossain,124013.0
Patuakhali 4,Barisal,Patuakhali,Bangladesh Khelafat Majlish (BKM),Dr. Zahir Uddin Ahmed,14985.0
Patuakhali 4,Barisal,Patuakhali,Gono Odhikar Parishad (GOP),Md. Rabiul Hossain,202.0
Patuakhali 4,Barisal,Patuakhali,Islami Andolan Bangladesh (IAB),Mostafizur Rahman,70127.0
Pirojpur 1,Barisal,Pirojpur,Bangladesh Nationalist Party (BNP),Alamgir Hossain,107105.0
Pirojpur 1,Barisal,Pirojpur,Bangladesh Jamaat-e-Islami (Jamaat),Masud Sayeedi,132659.0
Pirojpur 2,Barisal,Pirojpur,Bangladesh Nationalist Party (BNP),Ahmed Sohel Monjur,105185.0
Pirojpur 2,Barisal,Pirojpur,Amar Bangladesh Party (AB),Faisal Khan,390.0
Pirojpur 2,Barisal,Pirojpur,Independent Candidate (Independent),Mahmud Hossain,16219.0
Pirojpur 2,Barisal,Pirojpur,Islami Andolan Bangladesh (IAB),Md. Abul Kalam Azad,6697.0
Pirojpur 2,Barisal,Pirojpur,Jatiya Party (JaPa),Md. Mahibul Hossain,4705.0
Pirojpur 2,Barisal,Pirojpur,Bangladesh Jamaat-e-Islami (Jamaat),Shamim Sayeedi,96897.0
Pirojpur 3,Barisal,Pirojpur,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Karim Sikder,-
Pirojpur 3,Barisal,Pirojpur,Jatiya Party (JaPa),Md. Mashrequl Azam (Rabi),-
Pirojpur 3,Barisal,Pirojpur,Bangladesh Nationalist Party (BNP),Md. Ruhul Amin Dulal,63791.0
Pirojpur 3,Barisal,Pirojpur,Islami Andolan Bangladesh (IAB),Md. Rustom Ali Faraji,35968.0
Pirojpur 3,Barisal,Pirojpur,National Citizen Party (NCP),Md. Shamim Hamidi,36616.0
Pirojpur 3,Barisal,Pirojpur,Independent Candidate (Independent),Touhiduzzaman,-
Rajbari 1,Dhaka,Rajbari,Bangladesh Nationalist Party (BNP),Ali Nawaz Mahmud Khayum,154541.0
Rajbari 1,Dhaka,Rajbari,Jatiya Party (JaPa),Khondaker Habibur Rahman,-
Rajbari 1,Dhaka,Rajbari,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nurul Islam,101092.0
Rajbari 1,Dhaka,Rajbari,Zaker Party (ZP),Mohammad Ali Biswas,-
Rajbari 2,Dhaka,Rajbari,National Citizen Party (NCP),Jamil Hijazi,67299.0
Rajbari 2,Dhaka,Rajbari,Khelafat Majlis,Kazi Minhajul Alam,-
Rajbari 2,Dhaka,Rajbari,Bangladesh Sangskritik Muktijote (BSM),Md. Abdul Malek Mondal,-
Rajbari 2,Dhaka,Rajbari,Bangladesh Nationalist Party (BNP),Md. Harun-ur-Rashid,237254.0
Rajbari 2,Dhaka,Rajbari,Independent Candidate (Independent),Md. Nasirul Haque Sabu,-
Rajbari 2,Dhaka,Rajbari,Jatiya Party (JaPa),Md. Shafiul Azam Khan,-
Rajbari 2,Dhaka,Rajbari,Islami Andolan Bangladesh (IAB),Mohd. Abdul Malek,-
Rajbari 2,Dhaka,Rajbari,Independent Candidate (Independent),Sohel Molla,-
Rajbari 2,Dhaka,Rajbari,Gono Odhikar Parishad (GOP),Zahid Sheikh,-
Rajshahi 1,Rajshahi,Rajshahi,Amar Bangladesh Party (AB),Md. Abdur Rahman,-
Rajshahi 1,Rajshahi,Rajshahi,Independent Candidate (Independent),Md. Al-Saad,-
Rajshahi 1,Rajshahi,Rajshahi,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mujibur Rahman,171786.0
Rajshahi 1,Rajshahi,Rajshahi,Bangladesh Nationalist Party (BNP),Md. Sharif Uddin,169902.0
Rajshahi 1,Rajshahi,Rajshahi,Gono Odhikar Parishad (GOP),Mir Md. Shahjahan,-
Rajshahi 2,Rajshahi,Rajshahi,Bangladesh Labour Party,Md. Mejbaul Islam,-
Rajshahi 2,Rajshahi,Rajshahi,Bangladesh Nationalist Party (BNP),Md. Mizanur Rahman,188546.0
Rajshahi 2,Rajshahi,Rajshahi,Amar Bangladesh Party (AB),Md. Saeed Noman,-
Rajshahi 2,Rajshahi,Rajshahi,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Jahangir,100370.0
Rajshahi 2,Rajshahi,Rajshahi,Nagorik Oikya (NO),Mohammad Shamsul Alam,-
Rajshahi 2,Rajshahi,Rajshahi,Independent Candidate (Independent),Saleh Ahmed,-
Rajshahi 3,Rajshahi,Rajshahi,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abul Kalam Azad,137927.0
Rajshahi 3,Rajshahi,Rajshahi,Jatiya Party (JaPa),Md. Afzal Hossain,-
Rajshahi 3,Rajshahi,Rajshahi,Islami Andolan Bangladesh (IAB),Md. Fazlur Rahman,-
Rajshahi 3,Rajshahi,Rajshahi,Amjanatar Dol,Md. Saeed Parvez,-
Rajshahi 3,Rajshahi,Rajshahi,Bangladesh Nationalist Party (BNP),Mohammad Shafiqul Haque Milon,176318.0
Rajshahi 4,Rajshahi,Rajshahi,Bangladesh Nationalist Party (BNP),D. M. D. Ziaur Rahman,109461.0
Rajshahi 4,Rajshahi,Rajshahi,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Bari Sarkar,115226.0
Rajshahi 4,Rajshahi,Rajshahi,Islami Andolan Bangladesh (IAB),Md. Tajul Islam Khan,-
Rajshahi 5,Rajshahi,Rajshahi,Bangladesh Jamaat-e-Islami (Jamaat),Manjur Rahman,73445.0
Rajshahi 5,Rajshahi,Rajshahi,Bangladesh Supreme Party (BSP),Md. Altaf Hossain Mollah,-
Rajshahi 5,Rajshahi,Rajshahi,Independent Candidate (Independent),Md. Isfa Khairul Haque,-
Rajshahi 5,Rajshahi,Rajshahi,Independent Candidate (Independent),Md. Raihan Kawsar,-
Rajshahi 5,Rajshahi,Rajshahi,Islami Andolan Bangladesh (IAB),Md. Ruhul Amin,-
Rajshahi 5,Rajshahi,Rajshahi,Bangladesh Nationalist Party (BNP),Professor Nazrul Islam,153425.0
Rajshahi 5,Rajshahi,Rajshahi,Independent Candidate (Independent),Rezaul Karim,-
Rajshahi 6,Rajshahi,Rajshahi,Islami Andolan Bangladesh (IAB),Md. Abdus Salam Suraj,-
Rajshahi 6,Rajshahi,Rajshahi,Bangladesh Nationalist Party (BNP),Md. Abu Sayed Chad,147672.0
Rajshahi 6,Rajshahi,Rajshahi,Jatiya Party (JaPa),Md. Iqbal Hossain,-
Rajshahi 6,Rajshahi,Rajshahi,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nazmul Haque,92965.0
Rangamati 1,Chattogram,Rangamati,Jatiya Party (JaPa),Ashok Talukder,2974.0
Rangamati 1,Chattogram,Rangamati,Bangladesh Nationalist Party (BNP),Dipen Dewan,201544.0
Rangamati 1,Chattogram,Rangamati,Revolutionary Workers Party of Bangladesh (RWPB),Jui Chakma,1071.0
Rangamati 1,Chattogram,Rangamati,Gono Odhikar Parishad (GOP),Md. Abul Bashar (Badhsha),449.0
Rangamati 1,Chattogram,Rangamati,Islami Andolan Bangladesh (IAB),Md. Jasim Uddin,3672.0
Rangamati 1,Chattogram,Rangamati,Bangladesh Khelafat Majlish (BKM),Muhammad Abu Bakr Siddique,22715.0
Rangamati 1,Chattogram,Rangamati,Independent Candidate (Independent),Pahel Chakma,31222.0
Rangpur 1,Rangpur,Rangpur,Islami Andolan Bangladesh (IAB),ATM Golam Mustafa,-
Rangpur 1,Rangpur,Rangpur,Socialist Party of Bangladesh (Marxist) (SPB-M),Ahsanul Arefin,-
Rangpur 1,Rangpur,Rangpur,Islamic Front Bangladesh (IFB),Md. Anas,-
Rangpur 1,Rangpur,Rangpur,Bangladesh Nationalist Party (BNP),Md. Mokarram Hossain Sujan,69407.0
Rangpur 1,Rangpur,Rangpur,Jatiya Party (JaPa),Md. Monjum Ali,-
Rangpur 1,Rangpur,Rangpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Raihan Siraji,145088.0
Rangpur 2,Rangpur,Rangpur,Bangladesh Jamaat-e-Islami (Jamaat),ATM Azharul Islam,43076.0
Rangpur 2,Rangpur,Rangpur,Jatiya Party (JaPa),Anisul Islam Mandal,-
Rangpur 2,Rangpur,Rangpur,Islami Andolan Bangladesh (IAB),Md. Ashraf Ali,-
Rangpur 2,Rangpur,Rangpur,Jatiya Samajtantrik Dal-JASAD,Md. Azizur Rahman,-
Rangpur 2,Rangpur,Rangpur,Bangladesh Nationalist Party (BNP),Mohammad Ali Sarkar,22100.0
Rangpur 3,Rangpur,Rangpur,Jatiya Party (JaPa),Ghulam Mohammad Quader,-
Rangpur 3,Rangpur,Rangpur,Bangladesh Samajtantrik Dal (Basad),Md. Abdul Quddus,-
Rangpur 3,Rangpur,Rangpur,Islami Andolan Bangladesh (IAB),Md. Amiruzzaman,-
Rangpur 3,Rangpur,Rangpur,Socialist Party of Bangladesh (Marxist) (SPB-M),Md. Anwar Hossain Bablu,-
Rangpur 3,Rangpur,Rangpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mahbubur Rahman (Belal),175827.0
Rangpur 3,Rangpur,Rangpur,Bangladesh Nationalist Party (BNP),Md. Shamsuzzaman Samu,84578.0
Rangpur 3,Rangpur,Rangpur,Independent Candidate (Independent),Ms. Anwara Islam Rani,-
Rangpur 3,Rangpur,Rangpur,Independent Candidate (Independent),Rita Rahman,-
Rangpur 4,Rangpur,Rangpur,Jatiya Party (JaPa),Abu Naser Shah Md. Mahbubar Rahman,-
Rangpur 4,Rangpur,Rangpur,Bangladesh Khelafat Majlish (BKM),Abu Sahma,-
Rangpur 4,Rangpur,Rangpur,National Citizen Party (NCP),Akhtar Hossain,147947.0
Rangpur 4,Rangpur,Rangpur,Independent Candidate (Independent),Md. Shah Alam Basar,-
Rangpur 4,Rangpur,Rangpur,Islami Andolan Bangladesh (IAB),Md. Zahid Hossain,-
Rangpur 4,Rangpur,Rangpur,Bangladesh Nationalist Party (BNP),Mohammad Emdadul Haque Bhorsa,139616.0
Rangpur 4,Rangpur,Rangpur,Socialist Party of Bangladesh (Marxist) (SPB-M),Pragati Barman Tama,-
Rangpur 4,Rangpur,Rangpur,Bangladesh Congress,Ujjal Chandra Roy,-
Rangpur 5,Rangpur,Rangpur,Independent Candidate (Independent),Khandaker Mukit Al Mahmud,-
Rangpur 5,Rangpur,Rangpur,Amar Bangladesh Party (AB),Md. Abdul Bashet,-
Rangpur 5,Rangpur,Rangpur,Communist Party of Bangladesh (CPB),Md. Abu Helal,-
Rangpur 5,Rangpur,Rangpur,Socialist Party of Bangladesh (Marxist) (SPB-M),Md. Babul Akhter,-
Rangpur 5,Rangpur,Rangpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Golam Rabbani,175208.0
Rangpur 5,Rangpur,Rangpur,Bangladesh Nationalist Party (BNP),Md. Golam Rabbani,114141.0
Rangpur 5,Rangpur,Rangpur,Islami Andolan Bangladesh (IAB),Md. Golzar Hossain,-
Rangpur 5,Rangpur,Rangpur,Nagorik Oikya (NO),Mofakhkharul Islam Nawab,-
Rangpur 5,Rangpur,Rangpur,Jatiya Party (JaPa),SM Fakhar Uz Zaman,-
Rangpur 6,Rangpur,Rangpur,Independent Candidate (Independent),Abu Jafar Md. Zahid,-
Rangpur 6,Rangpur,Rangpur,Independent Candidate (Independent),Khandaker Shahidul Islam,-
Rangpur 6,Rangpur,Rangpur,Jatiya Party (JaPa),Md. Noor Alam Mia,-
Rangpur 6,Rangpur,Rangpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nurul Amin,118890.0
Rangpur 6,Rangpur,Rangpur,Amar Bangladesh Party (AB),Md. Sadequl Islam,-
Rangpur 6,Rangpur,Rangpur,Bangladesh Nationalist Party (BNP),Md. Saiful Islam,116919.0
Rangpur 6,Rangpur,Rangpur,Islami Andolan Bangladesh (IAB),Sultan Mahmud,-
Rangpur 6,Rangpur,Rangpur,Independent Candidate (Independent),Takia Jahan Chowdhury,-
Satkhira 1,Khulna,Satkhira,Jatiya Party (JaPa),Md. Habibul Islam Habib,169995.0
Satkhira 1,Khulna,Satkhira,Bangladesh Jamaat-e-Islami (Jamaat),Md. Izzat Ullah,193772.0
Satkhira 1,Khulna,Satkhira,Bangladesh Congress,Md. Yarul Islam,-
Satkhira 1,Khulna,Satkhira,Islami Andolan Bangladesh (IAB),Sheikh Md. Rezaul Karim,-
Satkhira 1,Khulna,Satkhira,Jatiya Party (JaPa),Ziaur Rahman,-
Satkhira 2,Khulna,Satkhira,Bangladesh Nationalist Party (BNP),Md. Abdur Rouf,116293.0
Satkhira 2,Khulna,Satkhira,Jatiya Party (JaPa),Md. Ashrafuzzaman,-
Satkhira 2,Khulna,Satkhira,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Md. Idris Ali,-
Satkhira 2,Khulna,Satkhira,Islami Andolan Bangladesh (IAB),Mufti Rabiul Islam,-
Satkhira 2,Khulna,Satkhira,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Abdul Khaliq,266959.0
Satkhira 3,Khulna,Satkhira,Bangladesh Jamaat-e-Islami (Jamaat),Hafez Muhaj Rabiul Bashar,184233.0
Satkhira 3,Khulna,Satkhira,Bangladesh Nationalist Party (BNP),Kazi Alauddin,-
Satkhira 3,Khulna,Satkhira,Jatiya Party (JaPa),Md. Alif Hossain,-
Satkhira 3,Khulna,Satkhira,Independent Candidate (Independent),Md. Shahidul Alam,105379.0
Satkhira 3,Khulna,Satkhira,Islami Andolan Bangladesh (IAB),Md. Waze Qurni,-
Satkhira 3,Khulna,Satkhira,Bangladesh Minority Janata Party (BMJP),Rubel Hossain,-
Satkhira 4,Khulna,Satkhira,Bangladesh Jamaat-e-Islami (Jamaat),G. M. Nazrul Islam,105805.0
Satkhira 4,Khulna,Satkhira,Jatiya Party (JaPa),Md. Abdur Rashid,-
Satkhira 4,Khulna,Satkhira,Bangladesh Nationalist Party (BNP),Md. Moniruzzaman,84868.0
Satkhira 4,Khulna,Satkhira,Islami Andolan Bangladesh (IAB),S. M. Mustafa Al Mamun,-
Shariatpur 1,Dhaka,Shariatpur,Gono Odhikar Parishad (GOP),Firoz Ahmed,-
Shariatpur 1,Dhaka,Shariatpur,Bangladesh Khelafat Majlish (BKM),Jalaluddin Ahmed,62717.0
Shariatpur 1,Dhaka,Shariatpur,National Citizen Party (NCP),Md. Abdur Rahman,-
Shariatpur 1,Dhaka,Shariatpur,Islami Andolan Bangladesh (IAB),Md. Tofail Ahmed,-
Shariatpur 1,Dhaka,Shariatpur,Independent Candidate (Independent),Mohammad Gulam Mustafa,-
Shariatpur 1,Dhaka,Shariatpur,Bangladesh Supreme Party (BSP),Noor Mohammad Mia,-
Shariatpur 1,Dhaka,Shariatpur,Bangladesh Nationalist Party (BNP),Sayeed Ahmed,77398.0
Shariatpur 1,Dhaka,Shariatpur,Independent Candidate (Independent),Syed Nazrul Islam,-
Shariatpur 2,Dhaka,Shariatpur,Gono Odhikar Parishad (GOP),Akhtaruzzaman Samrat,-
Shariatpur 2,Dhaka,Shariatpur,Islami Andolan Bangladesh (IAB),Imran Hossain,-
