seat_name,division,district,party,candidate,votes
Chapainawabganj 1,Rajshahi,Chapainawabganj,Jatiya Party (JaPa),Md. Afzal Hossain,-
Chapainawabganj 1,Rajshahi,Chapainawabganj,Bangladesh Jamaat-e-Islami (Jamaat),Md. Keramat Ali,206893.0
Chapainawabganj 1,Rajshahi,Chapainawabganj,Islami Andolan Bangladesh (IAB),Md. Monirul Islam (Moniur),-
Chapainawabganj 1,Rajshahi,Chapainawabganj,Bangladesh Nationalist Party (BNP),Md. Shahjahan Mia,162515.0
Chapainawabganj 1,Rajshahi,Chapainawabganj,Bangladesh Islami Front (BIF),Nawab Md. Shamsul Hoda,-
Chapainawabganj 2,Rajshahi,Chapainawabganj,Bangladesh Nationalist Party (BNP),Md. Aminul Islam,155119.0
Chapainawabganj 2,Rajshahi,Chapainawabganj,Islami Andolan Bangladesh (IAB),Md. Ibrahim Khalil,-
Chapainawabganj 2,Rajshahi,Chapainawabganj,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mizanur Rahman,171227.0
Chapainawabganj 2,Rajshahi,Chapainawabganj,Communist Party of Bangladesh (CPB),Md. Sadequl Islam,-
Chapainawabganj 2,Rajshahi,Chapainawabganj,Jatiya Party (JaPa),Mohamod Khurshid Alam,-
Chapainawabganj 3,Rajshahi,Chapainawabganj,Jatiya Samajtantrik Dal-JASAD,Md. Fazlur Islam Khan,-
Chapainawabganj 3,Rajshahi,Chapainawabganj,Bangladesh Nationalist Party (BNP),Md. Harunur Rashid,127037.0
Chapainawabganj 3,Rajshahi,Chapainawabganj,Islami Andolan Bangladesh (IAB),Md. Monirul Islam,-
Chapainawabganj 3,Rajshahi,Chapainawabganj,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nurul Islam,189640.0
Chapainawabganj 3,Rajshahi,Chapainawabganj,Gono Odhikar Parishad (GOP),Md. Shofikul Islam,-
Chattogram 1,Chattogram,Chattogram,Jatiya Samajtantrik Dal-JASAD,A. K. M. Abu Yusufe,-
Chattogram 1,Chattogram,Chattogram,Islami Andolan Bangladesh (IAB),Ferdaus Ahmed Chowdhury,-
Chattogram 1,Chattogram,Chattogram,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Saifur Rahaman,84538.0
Chattogram 1,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Nurul Amin,128799.0
Chattogram 1,Chattogram,Chattogram,Insaniyat Biplob Bangladesh (IBB),Rezaul Karim,-
Chattogram 1,Chattogram,Chattogram,Bangladesh Muslim League (BML),Sk. Zulfiqur Bulbul Chowdhury,-
Chattogram 1,Chattogram,Chattogram,Jatiya Party (JaPa),Syed Sahadat Hossain,-
Chattogram 2,Chattogram,Chattogram,Independent Candidate (Independent),Ahamed Kabir,-
Chattogram 2,Chattogram,Chattogram,Independent Candidate (Independent),Jinnat Akter,-
Chattogram 2,Chattogram,Chattogram,Janotar Dol,Md Golam Nowsher Ali,-
Chattogram 2,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Md. Sarowar Alamgir,-
Chattogram 2,Chattogram,Chattogram,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Nurul Amin,-
Chattogram 2,Chattogram,Chattogram,Islami Andolan Bangladesh (IAB),Mohammed Julfikar Ali Mannan,-
Chattogram 2,Chattogram,Chattogram,Gono Odhikar Parishad (GOP),Rabiul Hasan,-
Chattogram 2,Chattogram,Chattogram,Bangladesh Supreme Party (BSP),Shajada Syed Saifuddin Ahmed,-
Chattogram 3,Chattogram,Chattogram,Independent Candidate (Independent),Md. Moahedul Mawla,-
Chattogram 3,Chattogram,Chattogram,Islami Andolan Bangladesh (IAB),Mohammad Amzad Hossain,-
Chattogram 3,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Mostafa Kamal Pasha,73037.0
Chattogram 3,Chattogram,Chattogram,Bangladesh Jamaat-e-Islami (Jamaat),Muhammed Ala Uddin,39662.0
